# This run has the following parameters:
# time sites: 1000
# mass: 1
# time step: 0.1
# mu_squared: 1
# gauss height: 0
# gauss width: 1
# initial random width: 0.632456
# margin: 0.632456
# pre iterations: 50
# pre rounds: 5
# iterations: 1000
# rounds: 5
# iterations between: 2
# position seed: 0
# accept seed: 0
# bootstrap samples: 10000
# position_hist_bins: 40
# action_hist_bins: 100
# ----
-4.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-3.250000000000000000e+00 1.209360000000000056e-05 8.885079999999999302e-06
-3.000000000000000000e+00 4.416319999999999756e-05 1.552460000000000041e-05
-2.750000000000000000e+00 2.043035999999999865e-04 3.717631999999999984e-05
-2.500000000000000000e+00 8.361840000000000158e-04 7.944360000000000625e-05
-2.250000000000000000e+00 3.185040000000000093e-03 1.691495999999999907e-04
-2.000000000000000000e+00 9.566520000000000232e-03 3.143627999999999982e-04
-1.750000000000000000e+00 2.501379999999999923e-02 5.517680000000000067e-04
-1.500000000000000000e+00 5.751719999999999750e-02 8.812600000000000294e-04
-1.250000000000000000e+00 1.147867999999999944e-01 1.269020000000000044e-03
-1.000000000000000000e+00 2.070044000000000051e-01 1.657559999999999980e-03
-7.500000000000000000e-01 3.214620000000000255e-01 1.893520000000000099e-03
-5.000000000000000000e-01 4.463960000000000150e-01 2.045672000000000115e-03
-2.500000000000000000e-01 5.425520000000000342e-01 2.125688000000000143e-03
0.000000000000000000e+00 5.825559999999999627e-01 2.171576000000000149e-03
2.500000000000000000e-01 5.448560000000000070e-01 2.153407999999999885e-03
5.000000000000000000e-01 4.443759999999999932e-01 2.216916000000000199e-03
7.500000000000000000e-01 3.153139999999999832e-01 1.967207999999999804e-03
1.000000000000000000e+00 1.965883999999999965e-01 1.653355999999999923e-03
1.250000000000000000e+00 1.052960000000000007e-01 1.246116000000000021e-03
1.500000000000000000e+00 5.078799999999999981e-02 8.475839999999999676e-04
1.750000000000000000e+00 2.155475999999999920e-02 5.394080000000000099e-04
2.000000000000000000e+00 7.353519999999999675e-03 3.032983999999999962e-04
2.250000000000000000e+00 2.146379999999999816e-03 1.341079999999999974e-04
2.500000000000000000e+00 4.954960000000000007e-04 5.637599999999999692e-05
2.750000000000000000e+00 8.359199999999999519e-05 1.888871999999999895e-05
3.000000000000000000e+00 1.195080000000000084e-05 6.888759999999999754e-06
3.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
