# This run has the following parameters:
# time sites: 1000
# mass: 1
# time step: 0.1
# mu_squared: 1
# gauss height: 0
# gauss width: 1
# initial random width: 0.632456
# margin: 0.632456
# pre iterations: 50
# pre rounds: 5
# iterations: 300
# rounds: 5
# iterations between: 2
# position seed: 0
# accept seed: 0
# bootstrap samples: 1000
# position_hist_bins: 40
# action_hist_bins: 100
# ----
# j 	 x_j
398	-0.151757
399	-0.519866
400	-0.909061
401	-0.749019
402	-0.606159
403	-0.0714538
404	0.165002
405	-0.095127
406	0.000270752
407	-0.247164
408	0.198246
409	0.193074
410	0.135757
411	0.497528
412	0.734781
413	0.158179
414	0.0815334
415	0.113009
416	0.78397
417	1.07131
418	0.587192
419	0.604216
420	0.693949
421	0.708912
422	1.164
423	0.795936
424	0.719012
425	0.988132
426	1.01727
427	1.01528
428	0.923993
429	0.89366
430	0.332382
431	0.719835
432	0.583798
433	0.489186
434	0.156982
435	-0.00370688
436	-0.0220102
437	0.0794732
438	0.188488
439	0.309054
440	0.198259
441	0.0847931
442	-0.870133
443	-0.533232
444	-0.111949
445	0.311725
446	0.563366
447	0.222086
448	0.147201
449	0.165865
450	-0.31158
451	-0.538083
452	-0.79487
453	-1.10922
454	-1.58483
455	-1.32846
456	-1.41699
457	-0.997717
458	-1.08973
459	-1.20316
460	-0.896833
461	-1.06165
462	-0.598865
463	-0.635806
464	-0.223405
465	-0.104816
466	0.156388
467	0.451225
468	0.236742
469	0.0722913
470	0.225873
471	0.176789
472	0.0120234
473	-0.0747036
474	0.182098
475	0.00833536
476	0.229631
477	0.287989
478	0.432956
479	0.200905
480	-0.0894013
481	-0.22282
482	0.215752
483	0.272179
484	0.301845
485	0.134776
486	-0.365
487	-0.345798
488	0.00244179
489	0.0370348
490	0.166496
491	0.621378
492	0.1891
493	0.0778809
494	0.108416
495	0.519296
496	0.44978
497	0.461321
498	0.85946
499	0.807995
500	0.683056
501	0.676128
502	0.700555
503	0.610555
504	0.0331805
505	0.0996087
506	0.214878
507	0.314266
508	0.164821
509	0.543995
510	0.464636
511	0.614351
512	0.299963
513	-0.0793305
514	-0.238197
515	-0.279151
516	-0.415694
517	-0.287373
518	0.215516
519	0.559215
520	1.0561
521	1.27365
522	0.965061
523	0.986271
524	1.14451
525	1.17907
526	1.11347
527	0.911376
528	0.539182
529	0.292537
530	0.440989
531	0.361205
532	-0.0660245
533	-0.185701
534	-0.11236
535	-0.457031
536	-0.310694
537	-0.119574
538	-0.182513
539	-0.134113
540	-0.590948
541	-0.596297
542	-0.659107
543	-0.624297
544	-0.617959
545	-0.825409
546	-0.422114
547	-0.136127
548	-0.258976
549	0.125357
550	0.0986976
551	0.214284
552	0.209676
553	0.583337
554	0.506732
555	0.233752
556	-0.0443402
557	-0.433592
558	-0.0417752
559	-0.281907
560	-0.0926503
561	-0.375279
562	-0.106119
563	0.260409
564	0.322099
565	0.0441894
566	0.0166944
567	-0.27781
568	-0.395019
569	-0.371795
570	-0.071379
571	-0.398099
572	-0.628755
573	-0.0413266
574	-0.470336
575	-0.53029
576	-0.257417
577	0.462088
578	0.150827
579	0.279838
580	-0.102463
581	-0.0525825
582	0.0313648
583	-0.0879233
584	-0.308446
585	-0.590086
586	-0.422996
587	0.055314
588	0.16958
589	0.119604
590	0.21541
591	0.407458
592	0.204558
593	0.0964049
594	0.29658
595	0.115796
596	-0.324969
597	-0.404502
598	-0.103634
599	0.477654
600	0.166437
601	0.159404
602	0.289812
603	0.344568
604	-0.0835533
605	-0.133863
606	-0.473016
607	0.0440047
608	0.723454
609	0.196052
610	0.368142
611	0.734433
612	0.446088
613	-0.220561
614	-0.278283
615	-0.299762
616	-0.201004
617	-0.810534
618	0.0547428
619	0.00773906
620	-0.0388388
621	-0.270789
622	-0.365879
623	-0.806527
624	-0.933342
625	-1.27424
626	-0.311459
627	0.192853
628	0.114162
629	-0.194042
630	-0.647195
631	-1.25973
632	-0.990417
633	-0.433247
634	-0.359295
635	-0.3699
636	-0.523839
637	-0.133177
638	0.0305361
639	-0.127792
640	0.0785329
641	0.483134
642	0.324984
643	0.525761
644	-0.0823041
645	-0.355797
646	-0.516446
647	-0.658474
648	-0.347396
649	-0.274793
650	0.0975205
651	0.370349
652	-0.45727
653	0.0077527
654	0.110088
655	0.673503
656	0.43585
657	1.01154
658	1.08494
659	0.73563
660	0.909623
661	1.21593
662	1.41502
663	1.21603
664	0.965945
665	0.778984
666	0.351763
667	0.09096
668	-0.273395
669	-0.49909
670	-0.717009
671	-0.871671
672	-0.493976
673	-0.401925
674	-0.61936
675	-0.994157
676	-0.572002
677	-0.862919
678	-1.36768
679	-1.10698
680	-0.884985
681	-0.616215
682	-0.366794
683	-0.28379
684	-0.674521
685	-0.596375
686	-0.267579
687	0.0384027
688	0.135888
689	0.0228889
690	-0.366986
691	-0.606991
692	-0.928948
693	-1.05444
694	-1.1791
695	-0.797799
696	-0.972927
697	-0.757332
698	-0.767543
699	-0.337185
700	-0.596861
701	-0.688217
702	-0.352857
703	-0.515332
704	-0.218699
705	-0.616443
706	-0.374298
707	-0.358106
708	-0.246869
709	-0.276727
710	-0.572329
711	0.159657
712	0.159613
713	0.0306424
714	-0.0280562
715	-0.58062
716	-0.56632
717	-0.356009
718	-0.389187
719	-0.610066
720	-0.47147
721	-0.287006
722	0.011233
723	-0.354395
724	-0.417662
725	-0.808593
726	-0.952248
727	-0.837731
728	-0.907039
729	-0.688742
730	-0.331019
731	-0.145355
732	-0.212921
733	0.118528
734	0.0447066
735	-0.026274
736	0.440345
