# j 	 x_j
417	1.15141
418	0.507925
419	0.495136
420	0.103969
421	-0.150111
422	0.157013
423	0.256138
424	0.518467
425	0.97711
426	1.14466
427	1.24356
428	0.725626
429	1.15804
430	0.991867
431	1.63192
432	1.66058
433	1.25065
434	1.46228
435	1.42694
436	1.12145
437	1.51152
438	1.49715
439	1.20883
440	1.34289
441	1.32175
442	1.05842
443	0.957625
444	0.238166
445	0.00995407
446	0.199524
447	-0.443822
448	-0.644132
449	-1.05162
450	-1.06962
451	-1.02019
452	-1.60867
453	-1.64683
454	-1.58625
455	-1.06319
456	-0.746747
457	-0.328938
458	-0.0582584
459	-0.182523
460	-0.587544
461	-0.583531
462	0.436301
463	0.681668
464	1.21578
465	1.50473
466	1.27699
467	0.808715
468	0.151402
469	0.212884
470	0.361821
471	-0.720295
472	-1.09918
473	-1.3676
474	-1.27468
475	-1.41536
476	-0.972636
477	-1.3236
478	-1.2421
479	-0.897834
480	-0.781135
481	-0.650357
482	0.0990653
483	-0.0681057
484	0.18022
485	0.421521
486	0.847524
487	1.37146
488	1.41473
489	2.03355
490	1.97458
491	2.16129
492	2.08031
493	2.22056
494	2.37006
495	2.42713
496	2.43552
497	1.85277
498	2.07368
499	2.09014
500	1.9532
501	1.95683
502	1.53128
503	1.59498
504	1.75622
505	1.93441
506	2.19754
507	2.23879
508	2.29235
509	2.06115
510	1.22989
511	1.60863
512	2.23825
513	2.30049
514	2.27248
515	2.58573
516	1.50585
517	1.5259
518	1.65207
519	1.70879
520	2.06357
521	2.29345
522	2.06534
523	2.53761
524	2.31053
525	2.59029
526	2.68976
527	2.3013
528	2.4747
529	2.036
530	2.4604
531	2.17127
532	1.8904
533	1.36467
534	1.33751
535	0.99127
536	1.5219
537	1.02918
538	0.526306
539	0.200164
540	-0.447245
541	-0.598078
542	-0.626628
543	-1.07068
544	-1.58604
545	-1.71614
546	-1.71025
547	-2.17669
548	-2.02087
549	-2.59738
550	-2.38995
551	-2.31413
552	-2.13577
553	-1.7435
554	-1.8653
555	-1.89819
556	-1.97904
557	-2.1504
558	-1.98484
559	-2.12871
560	-1.65831
561	-1.80228
562	-1.83876
563	-1.05328
564	-0.697702
565	-0.793406
566	-1.09609
567	-1.62894
568	-1.98672
569	-1.96755
570	-1.80939
571	-2.15338
572	-1.9873
573	-2.32276
574	-2.18482
575	-1.4334
576	-1.3177
577	-0.832695
578	-1.17568
579	-1.15727
580	-1.37086
581	-1.39543
582	-0.936471
583	-0.818615
584	-1.34996
585	-1.6406
586	-1.37729
587	-1.10645
588	-1.23549
589	-1.46737
590	-0.894431
591	-0.721926
592	-1.06607
593	-1.27206
594	-1.326
595	-1.24852
596	-1.47621
597	-1.58891
598	-1.3894
599	-0.961528
600	-1.38875
601	-1.44547
602	-1.28506
603	-0.921433
604	-1.09579
605	-0.53152
