# tau 	 c??_val 	 c??_err
0.2	0.206065	0.18366
0.3	0.0252019	0.0398437
0.4	0.00604226	0.0168677
0.5	0.00538698	0.0141696
0.6	0.00683282	0.0139097
0.7	0.00344798	0.00722263
0.8	0.000126248	0.000639537
0.9	3.91989e-05	0.000236927
1	0.000102353	0.000342881
1.1	-0.000567663	0.0013202
1.2	-7.66807e-05	0.000636175
1.3	1.6723e-05	0.000171761
1.4	-4.60784e-05	0.000208593
1.5	-1.97733e-06	4.19075e-05
1.6	-9.38037e-07	2.64946e-05
1.7	-1.08294e-05	5.4893e-05
1.8	-7.27771e-05	0.000230448
1.9	-0.000239353	0.000407963
2	-0.000324269	0.000497221
2.1	-0.000406976	0.000506004
2.2	-0.000280557	0.000373767
2.3	-0.000141767	0.000240796
2.4	-5.17017e-05	0.000116596
2.5	-9.1294e-05	0.000160267
2.6	-5.46028e-05	0.000133896
2.7	-4.82175e-05	0.000125774
2.8	-9.07778e-05	0.000200158
2.9	-0.000100668	0.000200289
3	-9.99667e-05	0.000191891
3.1	-0.000172932	0.000210627
3.2	-0.000240171	0.000209261
3.3	-0.000340055	0.000292481
3.4	-0.000356522	0.000376752
3.5	-0.000304595	0.000359041
3.6	-0.000393287	0.000371727
3.7	-0.000437074	0.000350618
3.8	-0.000348257	0.00028921
3.9	-0.000376442	0.000296848
4	-0.00030147	0.000306434
4.1	-0.000105884	0.000205799
4.2	-9.36989e-05	0.000158003
4.3	-9.94116e-05	0.000144101
4.4	-0.000141157	0.000183022
4.5	-0.000176006	0.000209986
4.6	-0.000212056	0.000270158
4.7	-0.000159699	0.000203886
4.8	-0.000187918	0.000259781
4.9	-0.000215845	0.000262579
5	-0.000231223	0.000236546
5.1	-0.000189097	0.000187862
5.2	-0.000121122	0.000152076
5.3	-0.000169217	0.000166616
5.4	-0.000294005	0.000214922
5.5	-0.000354659	0.000257626
5.6	-0.000288588	0.000224021
5.7	-0.000266072	0.000219109
5.8	-0.00022085	0.000196488
5.9	-0.000208703	0.000200695
