# tau 	 c??_val 	 c??_err
0.2	0.657622	0.0451955
0.3	0.421237	0.0433885
0.4	0.275705	0.0338697
0.5	0.181707	0.0236972
0.6	0.121068	0.016249
0.7	0.0809805	0.0102867
0.8	0.0540947	0.00627298
0.9	0.0373406	0.00439136
1	0.0265	0.00348075
1.1	0.0192909	0.00277763
1.2	0.0142062	0.00229048
1.3	0.00981723	0.00175299
1.4	0.00655495	0.00102356
1.5	0.00465433	0.000771421
1.6	0.00342425	0.000673225
1.7	0.00227306	0.000716952
1.8	0.0012186	0.000712674
1.9	0.000526951	0.000530008
2	0.000401767	0.000468554
2.1	0.000209308	0.0003278
2.2	0.000285875	0.000303135
2.3	0.000473176	0.000317563
2.4	0.000578575	0.000382085
2.5	0.000764745	0.000389788
2.6	0.000764769	0.00037601
2.7	0.000579974	0.000469412
2.8	0.000679824	0.00063263
2.9	0.000544348	0.000671803
3	0.000510957	0.000760042
3.1	0.000581826	0.000863399
3.2	0.000687929	0.000866183
3.3	5.19893e-05	0.000130364
3.4	0.00011856	0.000142976
3.5	0.000192154	0.000197801
3.6	0.000155869	0.000198526
3.7	6.36754e-05	0.000164581
3.8	0.000123606	0.000229968
3.9	9.9329e-05	0.000179931
4	8.97216e-05	0.00015494
4.1	0.000204468	0.000220962
4.2	0.000151477	0.000205083
4.3	0.00011388	0.000197208
4.4	6.96039e-05	0.000147902
4.5	5.28554e-05	0.000136557
4.6	4.55139e-05	0.000108394
4.7	9.09572e-05	0.00015651
4.8	0.000150497	0.000185454
4.9	8.9538e-05	0.000146718
5	4.84169e-05	0.000117875
5.1	5.28879e-05	0.000129258
5.2	0.000100914	0.000148565
5.3	8.64841e-05	0.000155447
5.4	9.17864e-05	0.000158198
5.5	7.35795e-05	0.000142559
5.6	5.60647e-05	0.000151226
5.7	4.99968e-05	0.000133364
5.8	8.71744e-05	0.0001603
5.9	6.41756e-05	0.000132424
