# tau 	 c??_val 	 c??_err
0.2	0.552602	0.0533845
0.3	0.304929	0.0579141
0.4	0.167308	0.0536712
0.5	0.100174	0.0357426
0.6	0.0627846	0.0220399
0.7	0.0333571	0.0189701
0.8	0.0168896	0.0143948
0.9	0.00963412	0.0098126
1	0.00454951	0.0052567
1.1	0.00116686	0.00248293
1.2	0.000995556	0.00199306
1.3	0.00144749	0.00187668
1.4	0.00106222	0.00123353
1.5	0.000285602	0.000405227
1.6	0.000225817	0.000372272
1.7	0.000262483	0.00039733
1.8	0.000126432	0.000264431
1.9	4.06031e-05	0.000123322
2	1.70161e-05	9.49661e-05
2.1	-3.3598e-06	8.67884e-05
2.2	-4.92959e-06	7.64175e-05
2.3	2.33709e-05	9.307e-05
2.4	6.7738e-05	0.000132328
2.5	1.86811e-05	7.07182e-05
2.6	3.69339e-05	9.93806e-05
2.7	8.65794e-05	0.000133315
2.8	0.000121602	0.000189846
2.9	0.000178582	0.000304246
3	0.000124661	0.000267931
3.1	5.47765e-05	0.00017302
3.2	3.39969e-06	9.2438e-05
3.3	-5.88675e-05	0.000114095
3.4	-2.90351e-05	8.48981e-05
3.5	-2.98499e-05	9.34222e-05
3.6	-2.49368e-05	8.51329e-05
3.7	-8.7928e-05	0.000149182
3.8	-1.48423e-05	7.23049e-05
3.9	-5.23847e-05	0.000129911
4	-2.5985e-05	7.28962e-05
4.1	-6.19013e-06	0.000106892
4.2	3.73044e-06	0.000141161
4.3	-1.14038e-05	0.000163882
4.4	-4.91007e-05	0.000152228
4.5	-8.86908e-05	0.000178657
4.6	-9.88275e-05	0.0001425
4.7	-4.4769e-05	0.000127515
4.8	-2.09623e-05	9.56068e-05
4.9	-4.08031e-05	9.98298e-05
5	-4.57945e-05	8.79732e-05
5.1	-3.29166e-05	9.36331e-05
5.2	-9.39954e-06	7.79899e-05
5.3	-3.63294e-05	8.52637e-05
5.4	-3.21117e-05	7.34844e-05
5.5	-4.44416e-05	8.97299e-05
5.6	-8.43739e-05	0.000119068
5.7	-7.37589e-05	0.000103236
5.8	-2.75124e-05	6.45159e-05
5.9	-3.30655e-05	7.68914e-05
