# tau 	 c??_val 	 c??_err
0.2	0.791397	0.0595837
0.3	0.615166	0.0666892
0.4	0.488042	0.0650234
0.5	0.390921	0.057053
0.6	0.31613	0.0494187
0.7	0.257372	0.0430873
0.8	0.209866	0.0361344
0.9	0.171421	0.0302173
1	0.139997	0.024499
1.1	0.114092	0.0190194
1.2	0.0938834	0.0163227
1.3	0.0771544	0.0137285
1.4	0.062997	0.0108987
1.5	0.0514121	0.00847446
1.6	0.0421783	0.00703922
1.7	0.0346307	0.00609283
1.8	0.0282393	0.00493517
1.9	0.023007	0.0038376
2	0.0187349	0.00315046
2.1	0.0153352	0.00273154
2.2	0.0126539	0.00239005
2.3	0.0105636	0.00217611
2.4	0.00886975	0.00208892
2.5	0.00759046	0.00190473
2.6	0.00641099	0.00154949
2.7	0.00540319	0.0011655
2.8	0.00467342	0.000870818
2.9	0.00402476	0.00070047
3	0.00343399	0.00066345
3.1	0.00296629	0.000675052
3.2	0.00257935	0.000663011
3.3	0.00219461	0.000382127
3.4	0.00187213	0.000370778
3.5	0.00166375	0.000398866
3.6	0.0014397	0.000417984
3.7	0.00113146	0.000387861
3.8	0.000938359	0.000461202
3.9	0.000570435	0.000348395
4	0.000474667	0.000327204
4.1	0.000401033	0.000299579
4.2	0.000433009	0.000805662
4.3	0.000451887	0.000968351
4.4	0.000249888	0.000420387
4.5	0.000240538	0.000510609
4.6	0.000178664	0.000248836
4.7	0.000276049	0.000426358
4.8	0.00039126	0.000321162
4.9	0.00051152	0.000305608
5	0.000557934	0.00029118
5.1	0.000428123	0.000288482
5.2	0.000317529	0.000355748
5.3	0.000246879	0.000426077
5.4	0.000483988	0.000722188
5.5	0.000586772	0.000894955
5.6	0.000482319	0.000828753
5.7	0.000487999	0.000838736
5.8	0.000356204	0.000568813
5.9	0.000245718	0.000373489
