# tau 	 c??_val 	 c??_err
0.2	0.425825	0.0599616
0.3	0.134324	0.068372
0.4	0.0275975	0.0311997
0.5	0.0122156	0.0168992
0.6	0.0119121	0.0117978
0.7	0.00428603	0.00579359
0.8	0.000131458	0.000767057
0.9	0.000168839	0.000606559
1	0.000208327	0.000573305
1.1	-0.00043824	0.000826776
1.2	-6.72617e-05	0.000516651
1.3	-4.05412e-05	0.000253643
1.4	-0.00013779	0.000437615
1.5	-2.96535e-05	0.000173363
1.6	-4.91118e-05	0.000162498
1.7	-8.33805e-05	0.0001973
1.8	-0.000169427	0.000285758
1.9	-0.000341594	0.000406192
2	-0.000351761	0.000395453
2.1	-0.000411728	0.000367325
2.2	-0.000404526	0.000362438
2.3	-0.00030807	0.000299873
2.4	-0.000192713	0.000235644
2.5	-0.000255653	0.000248626
2.6	-0.00022334	0.000234299
2.7	-0.000183456	0.00021041
2.8	-0.000217863	0.000236472
2.9	-0.000293267	0.000266472
3	-0.000155279	0.000229058
3.1	-0.000148065	0.000248575
3.2	-0.000171884	0.000254755
3.3	-0.000144933	0.000250258
3.4	-0.000100328	0.000183094
3.5	-0.000228961	0.000257398
3.6	-0.000148665	0.000198456
3.7	-0.000142578	0.000171531
3.8	-0.000175062	0.00019421
3.9	-0.000200202	0.000190364
4	-0.00018151	0.000197139
4.1	-0.000133091	0.000186008
4.2	-9.08157e-05	0.00016527
4.3	-8.57137e-05	0.000164235
4.4	-9.73987e-05	0.000158487
4.5	-0.000121976	0.000169153
4.6	-0.000129294	0.000183345
4.7	-0.000163062	0.000198232
4.8	-0.000259986	0.000231498
4.9	-0.000277122	0.000233651
5	-0.000234933	0.000208198
5.1	-0.000112687	0.000162522
5.2	-8.21242e-05	0.000153273
5.3	-0.000100359	0.000168052
5.4	-0.000165852	0.000205406
5.5	-0.000261204	0.000221844
5.6	-0.000324934	0.000236952
5.7	-0.000369727	0.000213482
5.8	-0.000271022	0.000195492
5.9	-0.000185619	0.000183512
