# tau 	 c??_val 	 c??_err
0.2	1.00338	1.41694
0.3	0.841376	0.485479
0.4	0.751429	0.279241
0.5	0.674956	0.149715
0.6	0.606974	0.0348787
0.7	0.548043	0.000206018
0.8	0.495734	0.000226497
0.9	0.44836	0.000244805
1	0.405471	0.000261692
1.1	0.366651	0.000276603
1.2	0.331494	0.000290596
1.3	0.2997	0.000302803
1.4	0.270891	0.000313698
1.5	0.244855	0.000323132
1.6	0.221317	0.000329984
1.7	0.20003	0.000335496
1.8	0.180819	0.000338692
1.9	0.163456	0.000339508
2	0.147755	0.000340577
2.1	0.133558	0.00034094
2.2	0.120773	0.000340837
2.3	0.109234	0.000340338
2.4	0.0988478	0.000340831
2.5	0.089426	0.000341972
2.6	0.0808662	0.000343411
2.7	0.0731494	0.000344033
2.8	0.0661729	0.000343496
2.9	0.0598915	0.000396712
3	0.0542899	0.00280558
3.1	0.0491305	0.00228962
3.2	0.0444132	0.000343052
3.3	0.0402597	0.000343391
3.4	0.0364908	0.00034263
3.5	0.0331022	0.000543372
3.6	0.0299933	0.000345583
3.7	0.0272426	0.000684682
3.8	0.0247073	0.000343333
3.9	0.0224491	0.000490182
4	0.0203845	0.00034058
4.1	0.0185964	0.000843564
4.2	0.0169295	0.00205195
4.3	0.0153448	0.00114651
4.4	0.013933	0.000518515
4.5	0.0126783	0.000553907
4.6	0.0115355	0.00059579
4.7	0.0105017	0.000508452
4.8	0.00954314	0.000354373
4.9	0.00862756	0.00035777
5	0.00777935	0.000445682
5.1	0.00698526	0.000365474
5.2	0.00624059	0.000371269
5.3	0.00563775	0.00183064
5.4	0.00491498	0.000380342
5.5	0.00430576	0.000395885
5.6	0.00364838	0.000438135
5.7	0.0028752	0.000561851
5.8	0.00225276	0.000754803
5.9	0.0019872	0.00163558
