# tau 	 c??_val 	 c??_err
0.2	0.0115675	0.0364734
0.3	-0.00532444	0.0119291
0.4	-0.00739533	0.00969834
0.5	-0.0039473	0.00682902
0.6	-0.000926626	0.00315734
0.7	-0.000647944	0.00197858
0.8	-0.000969811	0.00145303
0.9	-0.00249505	0.00139995
1	-0.00413174	0.00128836
1.1	-0.00569764	0.00191621
1.2	-0.00544413	0.00135466
1.3	-0.00460051	0.00107652
1.4	-0.00393811	0.00124229
1.5	-0.00387783	0.00226277
1.6	-0.00345015	0.00228992
1.7	-0.00222067	0.00150046
1.8	-0.00126536	0.00145908
1.9	-0.0013818	0.00172076
2	-0.00130936	0.00165035
2.1	-0.000873526	0.0011167
2.2	-0.000627209	0.00066101
2.3	-0.000628631	0.000462544
2.4	-0.00056115	0.00040241
2.5	-0.000689759	0.000361329
2.6	-0.00081513	0.000285725
2.7	-0.000674965	0.000257408
2.8	-0.000675271	0.000306872
2.9	-0.000602064	0.000659297
3	-0.000527412	0.000622244
3.1	-0.000492533	0.000382842
3.2	-0.000567991	0.000445097
3.3	-0.000883808	0.000740984
3.4	-0.000960682	0.00074921
3.5	-0.00105033	0.000679365
3.6	-0.000921977	0.000629257
3.7	-0.000930057	0.000624248
3.8	-0.000647768	0.000355574
3.9	-0.000726475	0.000648976
4	-0.000564979	0.000628985
4.1	-0.000548835	0.000399066
4.2	-0.000634212	0.000294697
4.3	-0.000483339	0.000248697
4.4	-0.00046498	0.000286929
4.5	-0.000572506	0.000359143
4.6	-0.000581085	0.000545349
4.7	-0.00053574	0.0003599
4.8	-0.000712492	0.000551421
4.9	-0.000772403	0.000733032
5	-0.000643505	0.000554221
5.1	-0.000539116	0.000463572
5.2	-0.00054684	0.000418807
5.3	-0.000446233	0.000306003
5.4	-0.000522199	0.000262628
5.5	-0.000702188	0.000271873
5.6	-0.000625727	0.00028072
5.7	-0.000650092	0.000286371
5.8	-0.000491097	0.000265599
5.9	-0.000591315	0.000321135
