# This run has the following parameters:
# Algorithm version: 3
# time sites: 1000
# mass: 1
# time step: 0.1
# mu squared: 1
# inverse scattering length: 0
# gauss width: 1
# initial random width: 0.632456
# margin: 0.632456
# pre iterations: 50
# pre rounds: 5
# iterations: 100000
# rounds: 5
# iterations between: 2
# position seed: 0
# accept seed: 0
# bootstrap samples: 1000
# position hist_bins: 40
# action hist_bins: 100
# correlation size: 6
# correlation ts: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 
# export potential steps: 1000
# export potential bound: 5
# corr tau max: 6
# t_0: 1
# t_0 mode: 1
# ----
# tau 	 c??_val 	 c??_err
0.1	0.0319342	0.117964
0.2	0.0102084	0.0364073
0.3	-0.00431249	0.0110435
0.4	-0.00662958	0.00936642
0.5	-0.00357484	0.00678985
0.6	-0.000897793	0.00325022
0.7	-0.000653382	0.00205917
0.8	-0.000936904	0.00146331
0.9	-0.00253464	0.00126453
1	-0.0042132	0.00129933
1.1	-0.0057813	0.00190068
1.2	-0.00551199	0.00134075
1.3	-0.00464074	0.00103135
1.4	-0.00396382	0.00124872
1.5	-0.00380113	0.00222691
1.6	-0.00336768	0.00225179
1.7	-0.00215589	0.00147504
1.8	-0.00121045	0.00145174
1.9	-0.00133189	0.00171322
2	-0.00126214	0.00162706
2.1	-0.00083748	0.00105243
2.2	-0.000630346	0.000676267
2.3	-0.000639288	0.000462192
2.4	-0.000563306	0.000410089
2.5	-0.000698227	0.000386117
2.6	-0.000818879	0.000290777
2.7	-0.00068622	0.000258688
2.8	-0.000689329	0.000335124
2.9	-0.000631603	0.000719828
3	-0.000554197	0.00068116
3.1	-0.000491768	0.000394985
3.2	-0.000555308	0.000322854
3.3	-0.000873072	0.000672527
3.4	-0.000960061	0.000669638
3.5	-0.00104017	0.000604131
3.6	-0.000923259	0.000592111
3.7	-0.000903655	0.000565881
3.8	-0.000635027	0.000354808
3.9	-0.00073621	0.000662238
4	-0.000581496	0.000690029
4.1	-0.000554742	0.000424351
4.2	-0.000620654	0.000291739
4.3	-0.000476898	0.000258444
4.4	-0.000456311	0.000280898
4.5	-0.00057238	0.000390436
4.6	-0.000587516	0.000542253
4.7	-0.000546292	0.000346939
4.8	-0.000699509	0.000483655
4.9	-0.000769359	0.000692976
5	-0.000647606	0.000571769
5.1	-0.000556986	0.000496762
5.2	-0.000554895	0.000393999
5.3	-0.000457638	0.000300909
5.4	-0.000529646	0.000243238
5.5	-0.000702782	0.000253657
5.6	-0.000626399	0.000257625
5.7	-0.000643551	0.000260205
5.8	-0.000489607	0.000258309
5.9	-0.000574754	0.000289725
