# tau 	 c??_val 	 c??_err
0.2	0.429181	0.0581366
0.3	0.133078	0.0677555
0.4	0.0273256	0.031047
0.5	0.0120515	0.0167384
0.6	0.0116113	0.0117975
0.7	0.00419675	0.00592784
0.8	0.000128043	0.000737362
0.9	0.00018469	0.000597197
1	0.000219032	0.000574738
1.1	-0.000407416	0.000801908
1.2	-5.72263e-05	0.00050969
1.3	-6.77428e-05	0.000284477
1.4	-0.000147566	0.00044913
1.5	-3.55453e-05	0.000181954
1.6	-4.90532e-05	0.000145476
1.7	-9.02179e-05	0.000176761
1.8	-0.000174521	0.000284584
1.9	-0.000349999	0.000399424
2	-0.00035991	0.000386349
2.1	-0.000423815	0.000378779
2.2	-0.000420517	0.000358355
2.3	-0.000315558	0.000298354
2.4	-0.000185146	0.000222582
2.5	-0.000257377	0.000230994
2.6	-0.000234273	0.000233088
2.7	-0.000194703	0.000210908
2.8	-0.000213909	0.000235256
2.9	-0.000279243	0.000259714
3	-0.000149675	0.00023541
3.1	-0.000160211	0.000254074
3.2	-0.000178474	0.000270364
3.3	-0.000154212	0.000269666
3.4	-0.000106016	0.000194236
3.5	-0.000213847	0.000249524
3.6	-0.000153977	0.000206324
3.7	-0.000143009	0.000168793
3.8	-0.000178315	0.000193408
3.9	-0.000207136	0.00018692
4	-0.000184579	0.00019841
4.1	-0.000134962	0.00018788
4.2	-9.04641e-05	0.000164305
4.3	-8.30164e-05	0.000162824
4.4	-0.000100304	0.000163447
4.5	-0.000124666	0.000175219
4.6	-0.00013616	0.000188131
4.7	-0.000174085	0.000206488
4.8	-0.000273007	0.000321573
4.9	-0.000273999	0.000265217
5	-0.000228984	0.000203146
5.1	-0.000110643	0.000163011
5.2	-8.57867e-05	0.00016554
5.3	-9.65536e-05	0.000159691
5.4	-0.000168965	0.000225134
5.5	-0.000258715	0.000220867
5.6	-0.00031807	0.000238548
5.7	-0.000356103	0.000210361
5.8	-0.000266653	0.000199909
5.9	-0.000183403	0.00017969
