# tau 	 c??_val 	 c??_err
0.2	0.0340426	0.0809136
0.3	-0.00637549	0.0156678
0.4	-0.0037104	0.00701659
0.5	-0.00724675	0.0934857
0.6	-0.00278009	0.123877
0.7	-0.00365449	0.0539761
0.8	-0.00432226	0.0249347
0.9	-0.00445413	0.00565902
1	-0.00551032	0.00226793
1.1	-0.00756113	0.00913428
1.2	-0.00616563	0.00161954
1.3	-0.00483103	0.015856
1.4	-0.00410155	0.0246672
1.5	-0.00366279	0.0331821
1.6	-0.0030817	0.0128506
1.7	-0.00211228	0.000685065
1.8	-0.00156029	0.000942776
1.9	-0.00160191	0.00465392
2	-0.00163627	0.0063271
2.1	-0.00116029	0.00429935
2.2	-0.00108563	0.00600573
2.3	-0.000948123	0.00704241
2.4	-0.000700904	0.00257145
2.5	-0.000596655	0.00340678
2.6	-0.000779223	0.00659945
2.7	-0.000954559	0.014925
2.8	-0.00086304	0.0066826
2.9	-0.00104034	0.00810596
3	-0.000848509	0.00492649
3.1	-0.000744503	0.0043291
3.2	-0.00055097	0.00267604
3.3	-0.000589118	0.00187511
3.4	-0.00061679	0.000476471
3.5	-0.000847761	0.00106818
3.6	-0.000990534	0.000385946
3.7	-0.0009585	0.000396377
3.8	-0.000535858	0.000294648
3.9	-0.000484904	0.00343395
4	-0.000507242	0.0127568
4.1	-0.000506476	0.000442293
4.2	-0.000470435	0.000324466
4.3	-0.000422036	0.000502796
4.4	-0.000697104	0.0124105
4.5	-0.000673339	0.00947074
4.6	-0.000779054	0.0156176
4.7	-0.000691774	0.0137031
4.8	-0.000636431	0.00490462
4.9	-0.000850353	0.00836957
5	-0.000746586	0.0113989
5.1	-0.000799709	0.0156285
5.2	-0.000840636	0.00859034
5.3	-0.000765866	0.00203857
5.4	-0.000755449	0.000706378
5.5	-0.000638735	0.00219487
5.6	-0.000667525	0.000929938
5.7	-0.000675844	0.00427176
5.8	-0.000479273	0.000590013
5.9	-0.000606504	0.000261728
