# This run has the following parameters:
# Algorithm version: 3
# time sites: 1000
# mass: 1
# time step: 0.1
# mu squared: 1
# inverse scattering length: 0
# gauss width: 1
# initial random width: 0.632456
# margin: 0.632456
# pre iterations: 50
# pre rounds: 5
# iterations: 100000
# rounds: 5
# iterations between: 2
# position seed: 0
# accept seed: 0
# bootstrap samples: 1000
# position hist_bins: 40
# action hist_bins: 100
# correlation size: 6
# correlation ts: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 
# export potential steps: 1000
# export potential bound: 5
# corr tau max: 6
# t_0: 1
# t_0 mode: 1
# ----
# tau 	 c??_val 	 c??_err
0.1	1.00019	0.000147992
0.2	0.649187	0.0465358
0.3	0.392619	0.0327277
0.4	0.244889	0.022064
0.5	0.154983	0.0162248
0.6	0.0995807	0.01415
0.7	0.0629766	0.00600382
0.8	0.0395565	0.00363393
0.9	0.0254821	0.00361576
1	0.0167811	0.00382639
1.1	0.0114137	0.00235602
1.2	0.00821279	0.00268089
1.3	0.00523413	0.00209368
1.4	0.00358975	0.00161761
1.5	0.00278447	0.00150988
1.6	0.0021864	0.00135248
1.7	0.0018282	0.00142815
1.8	0.00104948	0.000941199
1.9	0.000329202	0.000435229
2	0.000148314	0.000306053
2.1	0.000148843	0.000311001
2.2	0.000331918	0.000329509
2.3	0.000362245	0.000335539
2.4	0.000268865	0.000333139
2.5	0.000390225	0.000333735
2.6	0.00029259	0.000274894
2.7	0.000440646	0.000324628
2.8	0.000259685	0.000257339
2.9	0.000220512	0.000302597
3	0.000326453	0.000356257
3.1	0.000467925	0.000337759
3.2	0.000616344	0.000360173
3.3	0.000483126	0.00028351
3.4	0.000366014	0.000248448
3.5	0.000243678	0.000227516
3.6	0.000171849	0.000204759
3.7	0.000101526	0.000176032
3.8	0.000156988	0.000193943
3.9	0.000122247	0.000161749
4	0.000165151	0.000187316
4.1	0.000183321	0.000201644
4.2	0.000300376	0.000253719
4.3	0.00025793	0.000213686
4.4	0.000233072	0.000198419
4.5	0.000222801	0.000205387
4.6	0.000163607	0.000174738
4.7	0.000168543	0.000213334
4.8	0.000176237	0.000244076
4.9	0.000108887	0.000156538
5	0.000159493	0.000172298
5.1	0.000297063	0.000229393
5.2	0.000336634	0.000235269
5.3	0.000383989	0.000233184
5.4	0.000266224	0.000206427
5.5	0.000188649	0.000173293
5.6	0.000175864	0.000195689
5.7	0.000154909	0.000148323
5.8	0.000187448	0.000210728
5.9	0.000143398	0.000248101
