# tau 	 c??_val 	 c??_err
0.2	0.757574	0.044186
0.3	0.556127	0.0331267
0.4	0.411655	0.0253281
0.5	0.30535	0.0205943
0.6	0.226222	0.0129557
0.7	0.167681	0.00601844
0.8	0.124579	0.00381847
0.9	0.0925827	0.00410562
1	0.0691061	0.00578875
1.1	0.0516066	0.00469688
1.2	0.0386995	0.00608272
1.3	0.0288023	0.00336879
1.4	0.0214722	0.00271138
1.5	0.016019	0.00261189
1.6	0.012003	0.00271807
1.7	0.00906542	0.00385849
1.8	0.00672531	0.00305167
1.9	0.00498624	0.00142517
2	0.00376939	0.0013049
2.1	0.00289365	0.00162576
2.2	0.0022148	0.000619486
2.3	0.00180029	0.000654877
2.4	0.00169145	0.00144551
2.5	0.00145359	0.00132563
2.6	0.00123457	0.000995246
2.7	0.00100864	0.000371781
2.8	0.000904685	0.000377192
2.9	0.000780288	0.00118904
3	0.000839434	0.00178747
3.1	0.000967762	0.00153056
3.2	0.00118421	0.000843278
3.3	0.000949311	0.000701649
3.4	0.000832236	0.00107707
3.5	0.000764475	0.00166383
3.6	0.000643486	0.00123672
3.7	0.00060332	0.00120093
3.8	0.000556468	0.000999687
3.9	0.000409052	0.000899353
4	0.000452781	0.00055378
4.1	0.000664362	0.000746311
4.2	0.000872361	0.0012527
4.3	0.000707257	0.0010731
4.4	0.000595137	0.00100912
4.5	0.000493682	0.000913903
4.6	0.000565381	0.000935085
4.7	0.000648215	0.000852497
4.8	0.000549656	0.000413698
4.9	0.000566944	0.00031134
5	0.000706338	0.000369854
5.1	0.000681456	0.000394897
5.2	0.000660144	0.000382079
5.3	0.000615239	0.000405618
5.4	0.000567669	0.000413392
5.5	0.000505184	0.000410225
5.6	0.00063763	0.000478907
5.7	0.00105747	0.000566897
5.8	0.00159054	0.000520875
5.9	0.00170288	0.000335759
